service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
110-12301,0,0,0,0,0,0,0,20170108,20170603,UT Monday - Thursday
110-12401,0,0,0,0,0,0,0,20170108,20170603,UT Friday Only
110-13301,0,0,0,0,0,0,0,20170108,20170603,Rail Weekday
110-13401,0,0,0,0,0,0,0,20170108,20170603,Rail Friday Night
110-13705,0,0,0,0,0,0,0,20170108,20170603,Saturday Special Event 2:30am Reg. Rail
110-14001,0,0,0,0,0,0,0,20170108,20170603,Thursday Only
110-14101,0,0,0,0,0,0,0,20170108,20170603,Wednesday Only
110-14201,0,0,0,0,0,0,0,20170108,20170603,Monday Only
110-14304,0,0,0,0,0,0,0,20170108,20170603,Saturday Special Event 12:30am Reg. Rail
110-14601,0,0,0,0,0,0,0,20170108,20170603,Weekday Special Event Extra Rail
110-14701,0,0,0,0,0,0,0,20170108,20170603,Friday Special Event 2:30am
110-14801,0,0,0,0,0,0,0,20170108,20170603,Weekday Special Event 12:30am
110-15504,0,0,0,0,0,0,0,20170108,20170603,Saturday Rail
110-15601,0,0,0,0,0,0,0,20170108,20170603,Special Event Extra Service
110-15604,0,0,0,0,0,0,0,20170108,20170603,Special Event Extra Service
110-15605,0,0,0,0,0,0,0,20170108,20170603,Special Event Extra Service
110-16004,0,0,0,0,0,0,0,20170108,20170603,Special Event Extra Service
110-20704,0,0,0,0,0,0,0,20170108,20170603,E-Bus Saturday
110-20804,0,0,0,0,0,0,0,20170108,20170603,Saturday Rail 10:00am to Midnight
110-20805,0,0,0,0,0,0,0,20170108,20170603,Saturday Rail 10:00am to Midnight
110-21005,0,0,0,0,0,0,0,20170108,20170603,UT Sunday Service
110-21301,0,0,0,0,0,0,0,20170108,20170603,Friday Special Event Midnight
110-21404,0,0,0,0,0,0,0,20170108,20170603,Saturday Rail Special Event
110-2201,0,0,0,0,0,0,0,20170108,20170603,Friday Only
110-23501,0,0,0,0,0,0,0,20170108,20170603,Regular Weekday
110-23804,0,0,0,0,0,0,0,20170108,20170603,Regular Saturday
110-24105,0,0,0,0,0,0,0,20170108,20170603,Regular Sunday
110-25405,0,0,0,0,0,0,0,20170108,20170603,SUNDAY SPECIAL EVENTS
110-26101,0,0,0,0,0,0,0,20170108,20170603,491 WORK
110-26104,0,0,0,0,0,0,0,20170108,20170603,491 WORK
110-26201,0,0,0,0,0,0,0,20170108,20170603,492 WORK
110-26204,0,0,0,0,0,0,0,20170108,20170603,492 WORK
110-2901,0,0,0,0,0,0,0,20170108,20170603,E-Bus Thursday/Friday
110-29504,0,0,0,0,0,0,0,20170108,20170603,ML KING JR DAY SE
110-29601,0,0,0,0,0,0,0,20170108,20170603,RAPID FRIDAY
110-29701,0,0,0,0,0,0,0,20170108,20170603,RAPID MON TO THUR
110-31404,0,0,0,0,0,0,0,20170108,20170603,EARTH DAY
110-31505,0,0,0,0,0,0,0,20170108,20170603,REGULAR SUNDAY 2
110-4801,0,0,0,0,0,0,0,20170108,20170603,UT Registration
110-4901,0,0,0,0,0,0,0,20170108,20170603,UT Finals
110-4904,0,0,0,0,0,0,0,20170108,20170603,UT Finals
110-5001,0,0,0,0,0,0,0,20170108,20170603,UT Summer Weekday
110-1,1,1,1,1,1,0,0,20170108,20170603,Weekday
110-4,0,0,0,0,0,1,0,20170108,20170603,Saturday
110-5,0,0,0,0,0,0,1,20170108,20170603,Sunday
