service_id,date,exception_type
110-1,20170116,2
110-1,20170529,2
110-4,20170116,1
110-5,20170529,1
110-2201,20170113,1
110-2201,20170120,1
110-2201,20170127,1
110-2201,20170203,1
110-2201,20170210,1
110-2201,20170217,1
110-2201,20170224,1
110-2201,20170303,1
110-2201,20170310,1
110-2201,20170317,1
110-2201,20170324,1
110-2201,20170331,1
110-2201,20170407,1
110-2201,20170414,1
110-2201,20170421,1
110-2201,20170428,1
110-2201,20170505,1
110-2201,20170512,1
110-2201,20170519,1
110-2201,20170526,1
110-2201,20170602,1
110-2901,20170119,1
110-2901,20170120,1
110-2901,20170126,1
110-2901,20170127,1
110-2901,20170202,1
110-2901,20170203,1
110-2901,20170209,1
110-2901,20170210,1
110-2901,20170216,1
110-2901,20170217,1
110-2901,20170223,1
110-2901,20170224,1
110-2901,20170302,1
110-2901,20170303,1
110-2901,20170309,1
110-2901,20170310,1
110-2901,20170316,1
110-2901,20170317,1
110-2901,20170323,1
110-2901,20170324,1
110-2901,20170330,1
110-2901,20170331,1
110-2901,20170406,1
110-2901,20170407,1
110-2901,20170413,1
110-2901,20170414,1
110-2901,20170420,1
110-2901,20170421,1
110-2901,20170427,1
110-2901,20170428,1
110-2901,20170504,1
110-2901,20170505,1
110-2901,20170511,1
110-2901,20170512,1
110-4801,20170110,1
110-4801,20170111,1
110-4801,20170112,1
110-4801,20170113,1
110-4801,20170530,1
110-4801,20170531,1
110-4901,20170508,1
110-4901,20170509,1
110-4901,20170510,1
110-4901,20170511,1
110-4901,20170512,1
110-4901,20170515,1
110-4901,20170516,1
110-4904,20170513,1
110-5001,20170601,1
110-5001,20170602,1
110-12301,20170117,1
110-12301,20170118,1
110-12301,20170119,1
110-12301,20170123,1
110-12301,20170124,1
110-12301,20170125,1
110-12301,20170126,1
110-12301,20170130,1
110-12301,20170131,1
110-12301,20170201,1
110-12301,20170202,1
110-12301,20170206,1
110-12301,20170207,1
110-12301,20170208,1
110-12301,20170209,1
110-12301,20170213,1
110-12301,20170214,1
110-12301,20170215,1
110-12301,20170216,1
110-12301,20170220,1
110-12301,20170221,1
110-12301,20170222,1
110-12301,20170223,1
110-12301,20170227,1
110-12301,20170228,1
110-12301,20170301,1
110-12301,20170302,1
110-12301,20170306,1
110-12301,20170307,1
110-12301,20170308,1
110-12301,20170309,1
110-12301,20170320,1
110-12301,20170321,1
110-12301,20170322,1
110-12301,20170323,1
110-12301,20170327,1
110-12301,20170328,1
110-12301,20170329,1
110-12301,20170330,1
110-12301,20170403,1
110-12301,20170404,1
110-12301,20170405,1
110-12301,20170406,1
110-12301,20170410,1
110-12301,20170411,1
110-12301,20170412,1
110-12301,20170413,1
110-12301,20170417,1
110-12301,20170418,1
110-12301,20170419,1
110-12301,20170420,1
110-12301,20170424,1
110-12301,20170425,1
110-12301,20170426,1
110-12301,20170427,1
110-12301,20170501,1
110-12301,20170502,1
110-12301,20170503,1
110-12301,20170504,1
110-12401,20170120,1
110-12401,20170127,1
110-12401,20170203,1
110-12401,20170210,1
110-12401,20170217,1
110-12401,20170224,1
110-12401,20170303,1
110-12401,20170310,1
110-12401,20170324,1
110-12401,20170331,1
110-12401,20170407,1
110-12401,20170414,1
110-12401,20170421,1
110-12401,20170428,1
110-12401,20170505,1
110-13301,20170109,1
110-13301,20170110,1
110-13301,20170111,1
110-13301,20170112,1
110-13301,20170117,1
110-13301,20170118,1
110-13301,20170119,1
110-13301,20170123,1
110-13301,20170124,1
110-13301,20170125,1
110-13301,20170126,1
110-13301,20170130,1
110-13301,20170131,1
110-13301,20170201,1
110-13301,20170202,1
110-13301,20170206,1
110-13301,20170207,1
110-13301,20170208,1
110-13301,20170209,1
110-13301,20170213,1
110-13301,20170214,1
110-13301,20170215,1
110-13301,20170216,1
110-13301,20170220,1
110-13301,20170221,1
110-13301,20170222,1
110-13301,20170223,1
110-13301,20170227,1
110-13301,20170228,1
110-13301,20170301,1
110-13301,20170302,1
110-13301,20170320,1
110-13301,20170321,1
110-13301,20170322,1
110-13301,20170323,1
110-13301,20170327,1
110-13301,20170328,1
110-13301,20170329,1
110-13301,20170330,1
110-13301,20170403,1
110-13301,20170404,1
110-13301,20170405,1
110-13301,20170406,1
110-13301,20170410,1
110-13301,20170411,1
110-13301,20170412,1
110-13301,20170413,1
110-13301,20170417,1
110-13301,20170418,1
110-13301,20170419,1
110-13301,20170420,1
110-13301,20170424,1
110-13301,20170425,1
110-13301,20170426,1
110-13301,20170427,1
110-13301,20170501,1
110-13301,20170502,1
110-13301,20170503,1
110-13301,20170504,1
110-13301,20170508,1
110-13301,20170509,1
110-13301,20170510,1
110-13301,20170511,1
110-13301,20170515,1
110-13301,20170516,1
110-13301,20170517,1
110-13301,20170518,1
110-13301,20170522,1
110-13301,20170523,1
110-13301,20170524,1
110-13301,20170525,1
110-13301,20170530,1
110-13301,20170531,1
110-13301,20170601,1
110-13401,20170113,1
110-13401,20170120,1
110-13401,20170127,1
110-13401,20170203,1
110-13401,20170210,1
110-13401,20170217,1
110-13401,20170224,1
110-13401,20170303,1
110-13401,20170324,1
110-13401,20170331,1
110-13401,20170407,1
110-13401,20170414,1
110-13401,20170421,1
110-13401,20170428,1
110-13401,20170505,1
110-13401,20170512,1
110-13401,20170519,1
110-13401,20170526,1
110-13401,20170602,1
110-13705,20170312,1
110-14001,20170112,1
110-14001,20170119,1
110-14001,20170126,1
110-14001,20170202,1
110-14001,20170209,1
110-14001,20170216,1
110-14001,20170223,1
110-14001,20170302,1
110-14001,20170309,1
110-14001,20170316,1
110-14001,20170323,1
110-14001,20170330,1
110-14001,20170406,1
110-14001,20170413,1
110-14001,20170420,1
110-14001,20170427,1
110-14001,20170504,1
110-14001,20170511,1
110-14001,20170518,1
110-14001,20170525,1
110-14001,20170601,1
110-14101,20170111,1
110-14101,20170118,1
110-14101,20170125,1
110-14101,20170201,1
110-14101,20170208,1
110-14101,20170215,1
110-14101,20170222,1
110-14101,20170301,1
110-14101,20170308,1
110-14101,20170315,1
110-14101,20170322,1
110-14101,20170329,1
110-14101,20170405,1
110-14101,20170412,1
110-14101,20170419,1
110-14101,20170426,1
110-14101,20170503,1
110-14101,20170510,1
110-14101,20170517,1
110-14101,20170524,1
110-14101,20170531,1
110-14201,20170109,1
110-14201,20170123,1
110-14201,20170130,1
110-14201,20170206,1
110-14201,20170213,1
110-14201,20170220,1
110-14201,20170227,1
110-14201,20170306,1
110-14201,20170313,1
110-14201,20170320,1
110-14201,20170327,1
110-14201,20170403,1
110-14201,20170410,1
110-14201,20170417,1
110-14201,20170424,1
110-14201,20170501,1
110-14201,20170508,1
110-14201,20170515,1
110-14201,20170522,1
110-14304,20170311,1
