from_stop_id,to_stop_id,transfer_type,min_transfer_time
483,483,1,
485,485,1,
498,498,1,
550,550,1,
554,554,1,
559,559,1,
606,606,1,
610,610,1,
611,611,1,
615,615,1,
631,631,1,
632,632,1,
634,634,1,
663,663,1,
684,684,1,
728,728,1,
733,733,1,
740,740,1,
777,777,1,
781,781,1,
809,809,1,
817,817,1,
822,822,1,
826,826,1,
829,829,1,
831,831,1,
915,915,1,
922,922,1,
978,609,2,1
982,982,1,
983,983,1,
1002,1002,1,
1027,1027,1,
1032,1032,1,
1042,1042,1,
1056,1056,1,
1058,1058,1,
1140,1140,1,
1160,1160,1,
1178,1178,1,
1188,1188,1,
1221,1221,1,
1224,1224,1,
1232,1232,1,
1246,1246,1,
1349,938,2,1
1358,1358,1,
1361,1361,1,
1368,1368,1,
1407,1407,1,
1415,1415,1,
1504,1504,1,
1566,1566,1,
1567,1567,1,
1569,1569,1,
1570,1570,1,
1601,1601,1,
1619,1619,1,
1706,1706,1,
1787,1787,1,
1809,1809,1,
1936,1936,1,
1957,1957,1,
1971,1971,1,
1977,1977,1,
1996,1996,1,
2003,2003,1,
2011,2011,1,
2080,2080,1,
2088,2088,1,
2106,2106,1,
2107,2107,1,
2113,2113,1,
2169,2169,1,
2191,2191,1,
2260,2260,1,
2281,2281,1,
2308,2308,1,
2312,2312,1,
2321,2321,1,
2324,2324,1,
2328,2328,1,
2331,2331,1,
2334,2334,1,
2335,2335,1,
2370,2370,1,
2374,2374,1,
2390,2390,1,
2427,2427,1,
2476,2476,1,
2483,2483,1,
2499,2499,1,
2520,2520,1,
2541,2541,1,
2569,2569,1,
2583,2583,1,
2587,2587,1,
2597,2597,1,
2607,2607,1,
2612,2612,1,
2613,2613,1,
2623,2623,1,
2641,2641,1,
2643,2643,1,
2649,2649,1,
2680,2680,1,
2726,2726,1,
2727,2727,1,
2768,2768,1,
2780,2780,1,
2810,2810,1,
2812,2812,1,
2821,2821,1,
2827,2827,1,
2830,2830,1,
2867,2867,1,
2908,2908,1,
2913,2913,1,
3020,3020,1,
3045,3045,1,
3161,3161,1,
3238,3238,1,
3262,3262,1,
3266,3266,1,
3271,3291,3,
3291,3271,3,
3295,3295,1,
3296,3296,1,
3299,3299,1,
3329,3329,1,
3491,3491,1,
3493,3493,1,
3512,3512,1,
3513,3513,1,
3519,3519,1,
3526,3526,1,
3527,3527,1,
3529,3529,1,
3655,3655,1,
3788,3788,1,
3837,3837,1,
3843,3843,1,
3852,3852,1,
3924,3924,1,
3931,3931,1,
4026,4026,1,
4029,4029,1,
4039,4039,1,
4046,4046,1,
4070,4070,1,
4086,4086,1,
4149,4149,1,
4161,4160,2,1
4172,4172,1,
4204,4204,1,
4212,4212,1,
4218,4218,1,
4219,4219,1,
4220,4220,1,
4288,4288,1,
4293,4293,1,
4310,4310,1,
4326,4326,1,
4381,4381,1,
4382,4382,1,
4396,4396,1,
4397,4397,1,
4409,4409,1,
4430,4430,1,
4446,4446,1,
4486,4486,1,
4518,4518,1,
4540,4540,1,
4543,4543,1,
4548,4548,1,
4570,4570,1,
4572,4572,1,
4585,4585,1,
4606,4606,1,
4614,4614,1,
4639,4639,1,
4682,4682,1,
4709,4709,1,
4737,4737,1,
4753,4753,1,
4760,4760,1,
4761,4761,1,
4830,4830,1,
4985,4985,1,
5007,5007,1,
5038,5038,1,
5039,5039,1,
5158,5158,1,
5160,5160,1,
5174,3750,2,1
5176,5176,1,
5225,5225,1,
5228,5228,1,
5232,5231,2,1
5235,5235,1,
5263,5263,1,
5273,5273,1,
5283,5283,1,
5284,5284,1,
5286,5286,1,
5287,5287,1,
5349,5349,1,
5373,5373,1,
5377,5377,1,
5386,5386,1,
5388,5387,2,1
5398,5398,1,
5405,5405,1,
5425,5425,1,
5445,5445,1,
5456,5456,1,
5498,5498,1,
5534,5534,1,
5535,5535,1,
5536,5536,1,
5537,5537,1,
5538,5538,1,
5539,5539,1,
5540,5540,1,
5541,5230,2,1
5544,5544,1,
5550,5550,1,
5554,5554,1,
5580,5580,1,
5591,5589,2,1
5606,5606,1,
5622,5622,1,
5634,5634,1,
5636,5636,1,
5656,5656,1,
5696,5696,1,
5698,5698,1,
5702,5702,1,
5703,5703,1,
5724,5724,1,
5731,5731,1,
5744,5744,1,
5760,5760,1,
5776,5776,1,
5777,5777,1,
5778,5778,1,
5843,5843,1,
5844,5844,1,
5854,5854,1,
5856,5856,1,
5859,5859,1,
5861,5861,1,
5863,5863,1,
5864,5864,1,
5872,5872,1,
5873,5873,1,
5880,5880,1,
5919,5919,1,
5940,5940,1,
5944,5944,1,
5949,5949,1,
5950,5950,1,
5956,5956,1,
5957,5957,1,
5958,5958,1,
5959,5959,1,
5960,5960,1,
5961,5961,1,
5970,5970,1,
5974,5974,1,
5984,5984,1,
5998,5998,1,
